Business Name,City,Phone,Website,Rating,Review Count,Is Franchise,Tier,Notes,Names,Progress,Contacted
Advantage Plumbing & Rooter,"Pasadena, CA",+1 626-956-3708,https://advantageplumbingrooter.com/,5,320,NO,TIER 1 - HOT,"Pro:
Shows workers and people working,
All the correct ads and information present

Cons: 
Layout of the posts and content,
Appointment booking is reliant on call back and communication, could miss a lead.
",,,TRUE
QP Plumbing,"Pasadena, CA",+1 626-366-9797,https://qpplumbing.net/,5,113,NO,TIER 1 - HOT,"Pro:
Site has alot of good content, vieos imgaes of team
The work done and certifications

Cons:
Layout of all the content and posts,the graphics and flow of the website seems jankie
Gallery could use some work on explaining the work more, insight from team.
Facebook has no following,
They also do not leverage their reviews",Call him tomorrow again,,FALSE
Papa's Plumbing Inc.,"Pasadena, CA",+1 626-243-3689,https://www.papatheplumber.com/?utm_source=gmb&utm_medium=referral,4.7,137,NO,TIER 1 - HOT,,,,TRUE
Plumbing Wholesale Outlet,"Pasadena, CA",+1 626-796-3871,https://www.mypwo.com/,4.7,30,NO,TIER 1 - HOT,"Cons:
Very old and outdated website, last updated in 2019 so are they still in business
",,,TRUE
Pasadena Plumbing Inc,"Pasadena, CA",+1 866-203-8297,http://pasadenaplumbinginc.us/,,,NO,TIER 3,,,,FALSE
Sierra Pacific Plumbing,"Pasadena, CA",+1 626-457-8845,http://www.sierrapacificplumbing.com/,5,18,NO,TIER 1 - HOT,"Cons:
Have a review page but it is not the first thing linked.
No trust indication like badges or team displayed, you do not know who is coming ot your house.
About page very desolote, Do not know what the team are, only showcasing work
Could show other things.",,,FALSE
Pershing Plumbing - Pasadena Plumbing Company,"Pasadena, CA",+1 310-623-2704,https://pershingplumbing.com/,5,4,NO,TIER 2,,,,FALSE
New Generation Plumbing,"Pasadena, CA",+1 626-385-1113,,5,19,NO,TIER 1 - HOT,,,,TRUE
Free Flo Rooter,"Pasadena, CA",+1 818-934-1144,http://www.freeflorooter.com/,4.9,269,YES,TIER 3,,,,TRUE
Cappello Plumbing,"Pasadena, CA",+1 626-672-6213,http://cappelloplumbing.com/,4.7,30,NO,TIER 1 - HOT,"Pro: 
Cons:
Have not posted in a while so are they still active,
It is a wordPresswebsite so could do the redesign on Next.Js keeping the backend on WordPress","Answering Service, call back",,TRUE
Red Lilly Plumbing,"Pasadena, CA",+1 323-319-4102,https://www.redlillyplumbing.com/,4.8,518,NO,TIER 2,,,,FALSE
Verdugo Plumbing,"Pasadena, CA",#ERROR!,http://www.verdugoplumbing.com/,4.7,25,NO,TIER 1 - HOT,"Pros:
Has a clear CTA with both Call and Text options, coupon section (drain cleaning, senior, hydro jetting, first-time), full address + hours, license number visible, contact form with service type selector, service area list.
Cons:
No visible star rating or review count on homepage — Google review button just sends to external page, not shown inline.
No team intro or photos anywhere on homepage — feels anonymous.
Hero section has a large banner image with minimal useful text. ""Trusted Partner"" is generic.
Coupons are image-only (not readable text) — hard to engage with.
No social media links.",,,TRUE
Right Price Rooter and Plumbing,"Pasadena, CA",#ERROR!,http://rightpricerooter.com/,5,48,NO,TIER 1 - HOT,"Pros:
Client testimonials with full names (Ron Carev, Robert Staub), mentions 25-year warranty on major jobs (very unique), lists experience since 1992, links to Habitat for Humanity (community trust signal).
Cons:
Extremely outdated design — tables-based layout from circa 2012.
HGTV photos are unrelated to plumbing work — confusing.
Yelp/Twitter icons are tiny and dated, links are old.
No contact form visible.
No team photos or intro.
""Vote for us on Yelp"" instead of showing actual review stars.
No visible star rating on homepage.
No address shown prominently.",,,TRUE
Altadena Handyman LLC,"Pasadena, CA",#ERROR!,http://www.altadenahandyman.com/,4.9,46,NO,TIER 1 - HOT,"Pros:
Before/after photo sliders are impressive — shows real completed projects.
License number displayed (#1025813), serving since 2015 shown.
FAQ section addresses confusion about business name.
Strong unique value prop: ""From the Pipe to the Paint.""
Testimonials with real names and cities (Isabel C., Janie S., Tim H.).
Service area pages per city.
Instagram and Facebook linked.
Cons:
Business name ""Altadena Handyman"" is confusing — doesn't say ""plumbing"" clearly.
120+ Yelp reviews linked off-site but not embedded or shown inline.
No license number prominent in hero.
No pricing or estimate range shown.
No visible star rating widget or Google review count on homepage.",Voice mail,,FALSE
PRI Plumbers and Rooters Inc,"Pasadena, CA",#ERROR!,http://www.plumbersandrooters.com/,5,12,NO,TIER 1 - HOT,"Pros:
Clean modern design, full service list with images and descriptions, family-owned + 25 years mentioned, license number visible (#1055253), 24/7 emergency call prominent, contact form with service type selector.
Cons:
No testimonials or customer reviews visible anywhere on homepage.
No team photos or names — anonymous feel.
No pricing or coupons.
No social media links.
Hero section is minimal — just a van photo and tagline, no trust signals above the fold.
No star rating shown.",,,FALSE
Target Plumber's,"Pasadena, CA",#ERROR!,,4.7,7,NO,TIER 1 - HOT,No website found. Strong pitch angle — business has 4.7 stars and 7 reviews but no web presence to leverage.,,,FALSE
ET Plumbing,"Pasadena, CA",#ERROR!,https://etplumbingpros.com/,5,29,NO,TIER 1 - HOT,"Pros:
""Who We Are"" section with team photo + 35 years experience.
Services listed with icons and brief descriptions.
Step-by-step ""How We Work"" section (builds trust).
""Why Choose Us"" section with icon grid.
2 customer reviews with names (Sarah M., Jason R.).
Cons:
Only 2 reviews visible — no aggregate star count or review widget.
Reviews have no source badge (Google/Yelp) — feels unverified.
Hero banner is generic stock photo (not real plumbers/jobs).
No address shown anywhere.
No coupon or pricing section.
No social media links.
No license number visible.",,,FALSE
Just Rooter and Plumbing,"Pasadena, CA",#ERROR!,https://rooterandplumbingla.com/,5,14,NO,TIER 1 - HOT,"Pros:
Mentions honest/ethical pricing, free estimates, 24/7 emergency, workmanship warranty, locally owned and licensed.
Cons:
Extremely bare website — less than one page of content.
No images of work, team, or business.
No contact form — only phone number at the bottom.
No address visible.
No reviews or testimonials anywhere.
No services page or service list.
No social links or review platform badges.
Design looks like a placeholder site.",,,FALSE
Thistle Plumbing,"Pasadena, CA",#ERROR!,http://www.thistleplumbing.com/,4.6,21,NO,TIER 1 - HOT,"Pros:
Has direct pricing pages linked per service (Drain/Sewer, Water Heater, Water+Gas, Repair/Replace).
3 client testimonials with names (Daniel R., Manjeet S., Yee I.) and locations.
30 years experience mentioned.
Yelp CTA present.
Current promo visible ($2100 for 40-gal water heater install).
Cons:
Testimonial photos look like generic lifestyle stock images — not real customers.
No contact form — only a call button.
No license number visible on homepage.
No team photo or named professional in hero section.
Carousel design feels dated.
Reviews link to external Yelp instead of being shown inline.
Promo says ""Only till July 30th"" — appears permanently stale/expired.",,,FALSE
The Plumbing Expert,"Pasadena, CA",#ERROR!,http://aaltadenaplumber.com/,4.8,49,NO,TIER 1 - HOT,"Pros:
Lists many services including less-common ones (septic tank, backflow testing, trenchless).
24/7 emergency service highlighted.
Cons:
""Call demo plumbing website 45"" error text left in live content — very unprofessional.
Outdated design (pre-2018 WordPress template).
No reviews or testimonials visible.
No team photos.
Uses ""cheap plumbing"" phrasing which damages trust.
No address shown.
No contact form — only a call CTA.
No social media links.
No license number on homepage.",,,FALSE
RomaRooter Inc,"Pasadena, CA",#ERROR!,http://romarooter.com/,5,10,NO,TIER 1 - HOT,"Pros:
Has dedicated pages: About Us, Services, Gallery, Reviews, Contact.
Cons:
Homepage scraped almost completely blank — only nav links and a reCAPTCHA loaded.
No visible content on the homepage at all (likely heavy JavaScript rendering issue).
Essentially invisible to anyone whose browser blocks JS.
No reviews, team info, or service descriptions shown.
No phone number or CTA visible on homepage.",,,FALSE
King Rooter & Hydrojet INC.,"Pasadena, CA",#ERROR!,https://kingrooterhydrojet.com/,4.8,20,NO,TIER 1 - HOT,"Pros:
Specialized trenchless services described (pipe burst, sewer liner, epoxy, mole boring, camera inspection).
Has email + phone, social links (Facebook/Instagram), serves Pasadena/SGV.
Cons:
No testimonials or reviews anywhere.
No team photos or names — completely anonymous.
No pricing or coupons.
No license number visible.
Hero image is dark and uninviting.
No star rating or trust badge shown.
Contact info buried at the bottom of the page.",,,FALSE
Rare Plumbing,"Pasadena, CA",#ERROR!,http://rareplumbing.net/,5,48,NO,TIER 1 - HOT,Website (rareplumbing.net) blocked all scraping — site may have strong bot protection or be behind a login. Unable to assess content. Manual review needed.,,,FALSE
Pasadena CA Plumbers,"Pasadena, CA",#ERROR!,,5,3,NO,TIER 2,,,,FALSE
NXT Level Plumbing Inc.,"Pasadena, CA",#ERROR!,https://www.nxtlevelplumbing.net/,5,17,NO,TIER 1 - HOT,"Pros:
Very detailed service descriptions (tankless WH, filtration, drain/sewer, piping, ADU, renovations).
Family-owned messaging, 25+ years experience, 24/7 service.
License number shown (#1146853).
Book online button, service area list, social links (Instagram + TikTok).
Cons:
""What Our Customers Are Saying"" section references ""Nashville Electric Pros"" — wrong company name left in template. Looks like copy-paste error from a template — very unprofessional.
No actual customer review quotes shown.
Sunday is closed (8am-5pm Mon-Sat only).
Powered by Housecall Pro — generic template feel.
No coupon or pricing info.",,,FALSE
Hard Hat Rooter and plumbing,"Pasadena, CA",#ERROR!,http://hardhatrooter.com/,5,72,NO,TIER 1 - HOT,"Pros:
Yelp embedded reviews with reviewer names and star ratings visible on page (406 reviews — strong social proof).
Coupon section for multiple services.
California license number shown (#981593).
18 years of experience mentioned.
Cons:
Coupons say ""Valid until 12/31/2024"" — expired by over a year. Looks neglected.
Yelp reviews show but clicking takes to external Yelp.
No team photos or individual plumber names.
No contact form visible — only phone number.
No social media links.
No Google review widget (only Yelp).",,,FALSE
NexGen HVAC & Plumbing,"Pasadena, CA",#ERROR!,https://nexgenairandplumbing.com/locations/arcadia/?utm_campaign=gmb-listing-arcadia&utm_source=google&utm_medium=organic,4.7,561,YES,TIER 3,,,,FALSE
Casey & Sons Plumbing & Electric,"Pasadena, CA",#ERROR!,https://caseyplumbingelectric.com/,4.9,101,NO,TIER 1 - HOT,"Pros:
Detailed service descriptions with SEO content (good for search).
24/7 service, licensed/bonded/insured.
Mentions same-day dispatch within an hour.
Cons:
Website is pure wall-of-text SEO content — no real design or visual appeal.
No visible testimonials or reviews on homepage.
No team photos at all.
Only 3-link navigation (Home, Plumbing Services, Request Quote).
No hero section with imagery.
No social media links.
No license number prominently shown.
No star ratings.",,,FALSE
Pasadena Plumbers Inc.,"Pasadena, CA",#ERROR!,https://pasadenaplumbers.net/,4.7,68,NO,TIER 1 - HOT,"Pros:
Family-owned positioning, 25+ years experience, Facebook social link.
Cons:
THIS IS THE WRONG PASADENA — this company is based in Pasadena, MARYLAND (address: 4512 Mountain Rd, Pasadena, MD 21122). Phone is 410 area code. Service areas are Annapolis, Baltimore, DC.
Facebook video embed does not work.
Outdated site design (Weebly template circa 2015).
No clear reviews visible.
No contact form.
Lead should likely be flagged and removed from Pasadena CA list.",,,FALSE
Premier Flow Plumbing,"Pasadena, CA",#ERROR!,,5,7,NO,TIER 1 - HOT,No website found. Has 5.0 stars and 7 reviews but zero web presence.,,,FALSE
"Happy Family Handyman | Electrical, Plumbing, Home Repairs","Pasadena, CA",#ERROR!,http://happyfamilyhandyman.com/,5,54,NO,TIER 1 - HOT,"Pros:
Yelp + Google star badge images are clickable (external).
Contact form with multiple fields.
About section mentions 10+ years experience.
Services listed with real job photos.
""Free estimate"" CTA.
Cons:
Business is branded as ""Handyman"" — plumbing is one of many services, not the focus.
No testimonials with customer names on homepage.
No license number visible.
No named plumber or team member.
No social media links beyond review platform badges.
Yelp/Google widgets link off-site, no inline star count shown.",,,FALSE
"All City Plumbing, Air & Electrical","Pasadena, CA",#ERROR!,https://www.allcityplumbing4u.com/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=ranchocucamongagbp,4.9,7918,YES,TIER 3,,,,FALSE
Rave Plumbing & Rooter,"Pasadena, CA",#ERROR!,https://www.raveplumbingandrooter.com/,4.7,37,NO,TIER 1 - HOT,"Website (raveplumbingandrooter.com) is down — ""Site not published or does not have a domain assigned."" Dead website. Strong pitch angle: has 4.7 stars + 37 reviews but no functional website.",,,FALSE
Clean Out Plumbing & Rooter,"Pasadena, CA",#ERROR!,http://wecleanoutdrains.com/,4.9,95,NO,TIER 1 - HOT,"Pros:
Good tagline: ""We Clear Your Drains, Not Your Wallet.""
4 social media links (Facebook, Instagram, YouTube, Yelp).
Review aggregate visible (4.7 / 48 ratings) with link.
$49 drain cleaning special shown in hero.
2-year 0% interest financing offered.
Same-day service + 30-day warranty highlighted.
""Request Call Back"" CTA.
Cons:
Review count visible but links off-site — no testimonial quotes shown inline.
No team photos or named plumber.
No license number visible.
Hero section feels cluttered — CTA, reviews, phone, tagline, offer all competing.
No address or service area shown.",,,FALSE
Foothill Plumbing,"Pasadena, CA",#ERROR!,http://www.foothillplumbing247.com/,4.5,35,NO,TIER 1 - HOT,"Pros:
License number visible (#866813).
30+ years in business mentioned.
24/7 service.
Address listed (La Crescenta, CA).
Fairly comprehensive service list.
Cons:
Very dated design (GoDaddy builder, circa 2015).
Google Maps embed is broken (""This page can't load Google Maps correctly"").
No testimonials or reviews anywhere.
No team intro or photos.
No contact form — only phone and email.
No CTAs beyond ""Read More"" links.
No social media links.",,,FALSE
Barrington Plumbing Co. LLC,"Pasadena, CA",#ERROR!,https://barrington.plumbing/,3.7,3,NO,TIER 3,,,,FALSE
Flintridge Rooter & Fine Plumbing,"Pasadena, CA",#ERROR!,http://www.flintridgerooterandfineplumbing.com/,5,8,NO,TIER 1 - HOT,"Website (flintridgerooterandfineplumbing.com) appears broken/misconfigured — homepage only loaded a ""Shopping Cart"" widget with no real content. Has a ""Cart"" nav link (unusual for a plumber). No services, no contact info, no reviews visible. Site is essentially unusable. Strong pitch angle: 5.0 stars, 8 reviews, no working website.",,,FALSE
Pro Flow-Highland Park CA-Plumbing Rooter,"Pasadena, CA",#ERROR!,,4.9,37,NO,TIER 1 - HOT,No website found. 4.9 stars + 37 reviews but zero web presence. Strong pitch angle.,,,FALSE
Plumbing Dudes,"Pasadena, CA",#ERROR!,https://www.plumbingdudes.la/,5,54,NO,TIER 1 - HOT,"Pros:
Multiple customer testimonials with names (Sassefi A., Josh B., Jill G., Sevana, Tenny K., Brian B.) — strong social proof.
""Led by a Master Plumber and former home inspector"" is a compelling differentiator.
Free estimates, licensed/bonded/insured.
Family-owned for 10+ years.
""View All Reviews"" link to dedicated reviews page.
Contact form with opt-in for text updates.
Cons:
No license number on homepage.
Phone number discrepancy — Google listing shows (818) 805-4013 but site shows (818) 975-3022.
No pricing or coupons.
No social media links visible on homepage.
""Master Plumber"" credential is mentioned in paragraph text but not highlighted in hero — buried.",,,FALSE
Westside plumbing & Drains,"Pasadena, CA",#ERROR!,,5,4,NO,TIER 2,,,,FALSE
Magic Rooter & Plumbing,"Pasadena, CA",#ERROR!,https://www.themagicrooter.com/,5,105,NO,TIER 1 - HOT,"Pros:
Founder named (Manuel Melgoza, 23+ years experience, since 2007).
Flexible financing options mentioned.
Coupon section present.
Cutting-edge tools/trenchless tech described.
Clear service list with sub-pages.
Quality guarantee promised.
Cons:
No actual review quotes on homepage — ""A Focus on Customer Satisfaction"" section has no testimonials shown.
QR code links to a (407) Florida area code number — looks like a template placeholder left in.
No license number on homepage.
No team photo beyond logo.
Review star widget links off-site, not shown inline.",,,FALSE
Dynamite Plumbing,"Pasadena, CA",,,5,2,NO,TIER 2,,,,FALSE
Payless Water Heaters & Plumbing,"Torrance, CA",#ERROR!,http://losangelescaplumbing.com/,4.9,104,NO,TIER 1 - HOT,"Owner Info: Not publicly identified. Britney Hills listed on LinkedIn as staff. No named owner on site.
 Contact: (424) 677-2359 | losangelescaplumbing.com | Source: Google Maps
 
 Pros:
 Clean, modern design with real job photos per service. Has service area pages per city (Redondo Beach, Manhattan Beach, Torrance, etc.). Blog section with local SEO articles. Free estimate form with service category and timeline selectors. ""Coastal plumbing expertise"" is a strong unique angle. 24/7 availability stated.
 
 Cons:
 No testimonials or customer reviews visible on homepage — zero social proof shown.
 No team photos, no owner name, no license number anywhere on site.
 No social media links at all.
 Hero section leads with a dense estimate form rather than trust-building content — puts the cart before the horse.
 No star rating badge or review count shown (Google/Yelp).
 FAQ section is all collapsed — no content visible above the fold.",Unknown,,FALSE
,"Sherman Oaks, CA",#ERROR!,https://paylesswaterheaters.com/,4.9,122,NO,TIER 3,"Owner Info: Founders — Bryan Oksas (CEO) and Scott Oksas (brothers). 30+ years in business. Family-owned.
 Contact: (888) 548-5632 | paylesswaterheaters.com | Source: Google Maps
 
 Pros:
 Multiple Google location review counts displayed inline on homepage (3,284 / 520 / 320 / 581 / 1,863 reviews — strong social proof). ""Get Hot Water in Hours, Not Days"" is a sharp hero headline. Same-day service + instant estimate CTA. Savings clearly stated on about page ($500-800 off installs, $400 off tankless). Founder story on about page (brothers Bryan & Scott Oksas, 30+ years). 100k+ installations mentioned.
 
 Cons:
 ""Scheduler Not Configured to Run on This Site"" error displays at top of every page — very unprofessional.
 About page overuses ""Bradford White Water Heaters"" excessively — reads like keyword stuffing, not real copy.
 Water heater specialist only — not a general plumber, limited pitch angle.
 No social media links visible.
 No team or founder photos anywhere.
 Multiple GMB location ratings shown together creates confusion about which location a customer is contacting.","Bryan Oksas (CEO / Co-Founder), Scott Oksas (Co-Founder)",,FALSE
R&R Plumbing Services,"Inglewood, CA",#ERROR!,https://www.randrplumbingservices.com/,5,4,NO,TIER 1 - HOT,"Owner Info: Rafael Rangel (Founder & Owner). 20+ years experience. LinkedIn confirms: linkedin.com/in/rafael-rangel-026b3b82
 Contact: 833-743-4599 | info@randrplumbingservices.com | randrplumbingservices.com | Source: Google Maps
 
 Pros:
 Owner named (Rafael Rangel) with personal backstory and Henry Ford quote — builds immediate trust.
 Serves HOAs and property managers as a distinct niche (multi-unit division).
 Two customer reviews with names and cities (Jordan B., Diane O.) including one that names Rafael directly.
 Email + phone + contact form all present. Family-owned positioning.
 
 Cons:
 Only 4 Google reviews total — very low for outreach confidence.
 3 different phone numbers across Google (833-925-7080), site header (323-228-3263), and footer (833-743-4599) — inconsistent and confusing.
 No star rating or review count shown on homepage.
 No license number visible anywhere.
 No social media links.
 No pricing or coupons.
 Hero image is a dark generic stock photo — not real work or team.
 No services detail page visible — just service category cards that say ""Read More"".",Rafael Rangel (Owner / Founder),,FALSE
Drain Right Services,"Gardena, CA",#ERROR!,https://www.drainrightservices.com/,4.9,1800,NO,TIER 3,"Owner Info: Ray Gallardo (President). LinkedIn: linkedin.com/in/ray-gallardo-28630748. Rick Gallardo also listed on LinkedIn.
 Contact: 877-962-4545 | customerservice@drainrightservices.com | drainrightservices.com | Source: Google Maps
 
 Pros:
 $45 drain cleaning offer prominently in hero — strong price anchor.
 5 social media links (Facebook, Twitter, YouTube, Instagram, Yelp, Google Maps).
 Full contact block: two location addresses, phone, email.
 CSLB license number visible (#852708).
 Synchrony financing available — lowers barrier for big jobs.
 Multiple payment methods shown (Visa, Mastercard, Amex, Discover, Apple Pay, Google Wallet).
 Live chat widget present. 24/7 hours.
 
 Cons:
 ""Photo By: John Doe"" placeholder credit text left live on site — looks like an incomplete template.
 ""Invalid API Key — API key is required"" error message appears on page — unprofessional.
 No customer testimonials or reviews shown on homepage — zero quotes despite 1,800 Google reviews.
 No team photos or owner name visible.
 Synchrony financing block reads like generic boilerplate copy, not tailored.
 ServiceTitan scheduler header leak visible in page code.
 20+ year established company with 1,800 reviews — strong incumbents, tougher to pitch a redesign.",Ray Gallardo (President),,FALSE
Valencia's Plumbing,"Los Angeles, CA",#ERROR!,https://valenciasplumbing20.net/,4.9,123,NO,TIER 1 - HOT,"Owner Info: Not publicly identified. ""Christian"" mentioned by name in a customer review as the technician/team lead. Instagram: @valenciasplumbing20.
 Contact: (323) 489-9276 | valenciasplumbing20.net | Source: Google Maps
 
 Pros:
 Instagram feed embedded on homepage showing real job photos — authentic proof of work.
 Customer reviews shown inline with names (Rafael M., Carlos Ramos, Mary Schafer) including one in Spanish — shows bilingual customer reach.
 ""Christian"" named by a customer — builds a human connection.
 Same-day + 24/7 emergency service prominent. Clear pricing promise (""no hidden costs""). Contact form present. Service pages linked per category.
 
 Cons:
 No owner name or team intro anywhere on site — completely anonymous despite strong reviews.
 No license number visible on homepage.
 No dedicated About page — no story behind the business.
 Emoji icons (🛠️ 💧 🚿) in service navigation look unprofessive on a business site.
 No social media links besides the embedded Instagram feed (no Facebook, Yelp, or Google badge shown).
 No pricing or coupons.
 Hero is a generic home construction stock photo — not real team or job photos.
 No star rating widget or Google review badge shown on homepage.",Unknown (Christian mentioned in reviews),,FALSE
